,Date,Open,High,Low,Close,Volume,SMA,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU,RSI,EMA
2429,20170628,35.2066,35.2066,34.9173,35.0826,240730,35.123966666666625,35.123949999999994,34.3595,33.884299999999996,34.91735,36.6942,55.18206468267607,35.05045569439801
2430,20170629,35.3719,35.3719,34.9586,35.0,171730,35.07919999999996,35.123949999999994,34.3595,33.811975,34.896699999999996,36.8182,54.193877884789764,35.04036455551841
2431,20170630,35.2066,35.2893,34.9174,35.2893,452240,35.16184999999996,35.123949999999994,34.38015,33.739675,34.896699999999996,36.7769,57.09209853063232,35.090151644414725
2432,20170703,35.2893,35.2893,34.8761,34.9587,537620,35.16184999999996,35.0207,34.38015,33.6777,34.896699999999996,37.1074,52.967721939165486,35.06386131553178
2433,20170704,34.8761,34.9587,34.2975,34.7107,938440,35.09297499999996,34.896699999999996,34.4628,33.6777,34.896699999999996,35.9504,50.04697675491663,34.99322905242543
2434,20170705,34.9586,35.0413,34.4214,34.7107,493510,35.01721666666662,34.896699999999996,34.4628,33.6777,34.896699999999996,35.7025,50.04697675491664,34.93672324194034
2435,20170706,35.1239,35.1239,34.7107,35.0413,324260,35.024099999999954,34.896699999999996,34.4834,33.615725,34.896699999999996,35.9504,53.97102395981766,34.957638593552275
2436,20170707,35.2479,35.2892,34.7107,34.7107,238900,34.96899999999996,34.8347,34.4834,33.677724999999995,34.896699999999996,35.9504,49.76134265380268,34.90825087484182
2437,20170710,34.9586,34.9586,33.8843,33.9669,555810,34.90012499999995,34.6281,34.4834,33.636399999999995,34.7727,35.2066,41.85196331330654,34.71998069987346
2438,20170711,33.9669,34.7933,33.9669,34.7934,436010,34.90356666666663,34.6281,34.6074,33.584725,34.483450000000005,35.3719,51.144515469301524,34.73466455989877
2439,20170712,35.0827,35.2066,34.7108,35.2066,459760,34.889791666666625,34.5868,34.6487,33.543425,34.1322,35.3306,55.01503675224703,34.829051647919016
2440,20170713,35.2066,35.2066,34.6281,35.2066,552600,34.889791666666625,34.5868,34.669399999999996,33.6054,34.1322,35.3306,55.01503675224703,34.90456131833522
2441,20170714,35.2066,35.2066,34.876,35.2066,355150,34.90012499999995,34.58675,34.793350000000004,33.791374999999995,34.1322,35.4545,55.01503675224703,34.96496905466818
2442,20170717,35.124,35.124,34.5454,35.0413,489240,34.90356666666662,34.58675,34.793350000000004,33.832699999999996,34.1322,35.3719,52.920227755167275,34.98023524373455
2443,20170718,34.2975,34.9587,34.2975,34.9587,146220,34.87601666666662,34.58675,34.793350000000004,34.05995,34.1322,35.7851,51.857633186753986,34.97592819498764
2444,20170719,35.124,35.124,34.6694,34.7107,300130,34.85534999999995,34.58675,34.793350000000004,34.33885,34.1529,35.9917,48.696109300185235,34.922882555990114
2445,20170720,34.7107,35.0413,34.5454,35.0413,259280,34.88289999999995,34.54545,34.793350000000004,34.38015,34.194199999999995,36.8182,52.82498382957348,34.94656604479209
2446,20170721,34.7934,35.0826,34.4215,35.0826,563380,34.913891666666615,34.58675,34.793350000000004,34.38015,34.194199999999995,37.6033,53.33028282936025,34.97377283583368
2447,20170724,35.0826,35.0826,34.6281,34.876,222770,34.90011666666661,34.75205,34.793350000000004,34.44215,34.194199999999995,38.0579,50.42083000081976,34.95421826866694
2448,20170725,34.5454,34.7934,34.5454,34.7107,193720,34.90011666666661,34.75205,34.793350000000004,34.4628,34.194199999999995,40.6612,48.15709824440225,34.90551461493356
2449,20170726,34.7107,35.2066,34.5454,35.2066,508260,35.00342499999994,34.75205,34.6901,34.51445,34.2355,40.4959,54.72437561443699,34.96573169194685
2450,20170727,34.7934,35.2066,34.7934,34.9587,254710,35.017199999999946,34.75205,34.6901,34.61775,34.2355,40.8264,51.23061813402893,34.96432535355748
2451,20170728,34.9587,35.4546,34.7108,35.4545,431700,35.03785833333328,34.87605,34.6901,34.61775,34.2355,41.4876,57.12610360176513,35.06236028284598
2452,20170731,36.033,36.7768,35.9504,36.7769,1244560,35.16871666666662,35.59915,35.33055,34.61775,34.2355,41.3223,68.17618665293205,35.40526822627678
2453,20170801,36.7769,36.7769,36.3637,36.6942,404610,35.29268333333329,35.599199999999996,35.330600000000004,34.61775,34.2355,41.281000000000006,67.01297475074759,35.66305458102143
2454,20170802,36.281,36.7768,36.281,36.6942,388850,35.43042499999996,35.599199999999996,35.330600000000004,34.700374999999994,34.2355,41.8182,67.01297475074759,35.86928366481714
2455,20170803,36.5289,37.0248,36.3636,36.6942,481890,35.575049999999955,35.7851,35.45455,34.741724999999995,34.2355,40.7438,67.01297475074759,36.034266931853715
2456,20170804,36.8595,37.1074,36.6942,36.8182,436280,35.75067499999995,35.8264,35.495850000000004,34.741724999999995,34.2355,40.7438,68.03433761976767,36.19105354548297
2457,20170807,36.8182,36.8595,36.6116,36.7769,342670,35.89530833333329,35.8264,35.495850000000004,34.75205,34.2355,39.7521,67.28706078374492,36.308222836386385
2458,20170808,36.7769,37.1075,36.7769,37.1074,655500,36.06404166666662,35.90915,35.495900000000006,34.700424999999996,34.2355,40.6198,70.11584866016248,36.468058269109115
2459,20170809,36.6115,37.19,35.9504,35.9504,631740,36.153574999999954,35.9504,35.53715,34.67975,34.2355,40.4132,52.87742075431652,36.364526615287296
2460,20170810,35.9504,36.1983,35.5372,35.7025,178660,36.236224999999955,36.3636,35.53715,34.67975,34.2355,40.4959,50.03874541101189,36.23212129222984
2461,20170811,35.7025,36.1157,35.4546,35.9504,125330,36.298208333333285,36.3223,35.53715,34.69005,34.2355,40.5785,52.769321782210355,36.17577703378387
2462,20170814,35.9504,35.9917,35.7025,35.9504,227890,36.38084999999995,36.3223,35.53715,34.65905,34.3595,40.4959,52.76932178221035,36.1307016270271
2463,20170815,35.8678,35.9504,35.124,35.2066,508250,36.360191666666616,36.157,35.578450000000004,34.55575,34.3595,40.5785,44.33717717948196,35.94588130162168
2464,20170816,35.124,35.4132,35.0413,35.3719,259540,36.24310833333328,36.11565,35.74375,34.61775,34.3595,40.5785,46.387507774978495,35.83108504129734
2465,20170817,35.5372,35.5372,35.0413,35.3306,334020,36.12947499999995,36.11565,35.74375,34.61775,34.3595,40.4959,45.93226982978337,35.730988033037875
2466,20170818,35.3306,35.6199,35.0413,35.3306,523350,36.01584166666661,36.11565,35.74375,34.628099999999996,34.3595,40.8264,45.93226982978337,35.6509104264303
2467,20170821,34.9587,35.4546,34.9587,35.4545,297760,35.91253333333328,36.074349999999995,35.74375,34.69005,34.3595,42.2314,47.7174609034393,35.61162834114424
2468,20170822,35.2066,35.5371,35.2066,35.3719,219070,35.79200833333328,35.578500000000005,35.74375,34.69005,34.3595,41.9835,46.61251123921633,35.56368267291539
2469,20170823,35.7438,35.7851,35.3719,35.7851,141920,35.70935833333328,35.5372,35.80575,34.69005,34.3595,42.31399999999999,52.533779889430136,35.607966138332316
2470,20170824,35.9504,36.3223,35.7851,35.9917,391490,35.616383333333275,35.6405,35.80575,34.69005,34.3595,42.1488,55.20877446507649,35.68471291066586
2471,20170825,35.9917,36.9834,35.9917,36.8182,625340,35.68869999999994,35.971050000000005,35.80575,34.6694,34.3595,42.2314,63.95921183652476,35.91141032853269
2472,20170828,36.8182,37.6033,36.4463,37.6033,815250,35.84709999999994,36.281,36.074349999999995,34.69005,34.3595,42.9752,69.96224899031509,36.24978826282615
2473,20170829,37.5207,38.1818,37.1488,38.0579,1051820,36.022724999999944,36.57025,36.363600000000005,34.7727,34.3595,43.5537,72.78854504520443,36.61141061026092
2474,20170830,38.0579,40.6612,38.0579,40.6612,1588730,36.41529166666661,37.80995,37.603300000000004,34.7727,34.3595,43.4711,82.78049678111636,37.421368488208735
2475,20170831,40.4959,41.8182,40.0827,40.4959,1464890,36.856066666666614,38.38845,38.2645,34.721075,34.3595,42.9752,80.75286166426781,38.03627479056699
2476,20170901,40.248000000000005,41.2397,40.248000000000005,40.8264,613910,37.31060833333328,38.5124,38.2645,34.721075,34.3595,43.1405,81.71711214665102,38.5942998324536
2477,20170905,41.2396,41.5702,40.9917,41.4876,1083940,37.82369166666661,38.59505,38.38845,34.783075,34.3595,45.3719,83.49825825954264,39.17295986596288
2478,20170906,41.4876,41.4876,40.4959,41.3223,977140,38.322999999999944,38.801649999999995,38.38845,35.46485,34.896699999999996,45.4545,81.36416872578496,39.60282789277031
2479,20170907,41.3223,41.3223,40.8264,41.281000000000006,468460,38.808541666666606,38.90495,38.38845,35.4649,34.89675,46.281000000000006,80.80845146616096,39.93846231421625
2480,20170908,41.3223,42.3967,40.7851,41.8182,1674650,39.34573333333328,39.4215,38.6777,35.4649,34.89675,45.123999999999995,82.48424387652217,40.314409851373
2481,20170911,41.6529,41.6529,40.7438,40.7438,678430,39.758958333333275,39.77275,38.6777,35.619825,35.0207,45.7025,69.42695537834447,40.4002878810984
2482,20170912,40.1653,40.7438,40.1653,40.7438,1762650,40.15496666666662,40.2273,38.6777,35.661125,35.062,45.3719,69.42695537834447,40.46899030487872
2483,20170913,40.7438,40.7851,39.6694,39.7521,983030,40.39945833333328,41.03305,38.6777,35.661125,35.08265,45.4545,59.36670820493038,40.32561224390298
2484,20170914,39.2976,41.3223,39.2976,40.6198,1038060,40.65083333333328,40.84715,38.6777,35.702525,35.0827,45.7025,64.24819848635619,40.384449795122386
2485,20170915,39.8347,40.9091,39.8347,40.4132,3535620,40.847108333333274,40.84715,38.6777,35.743775,35.206599999999995,45.7851,62.32820204246507,40.390199836097906
2486,20170918,40.4132,40.8264,40.3306,40.4959,309400,40.83333333333328,40.84715,38.6777,35.950374999999994,35.206599999999995,45.8678,62.807335652084674,40.41133986887833
2487,20170919,40.4959,40.7438,40.3719,40.5785,677170,40.840216666666606,40.84715,38.6777,35.929725,35.227199999999996,45.7025,63.309280199631985,40.44477189510266
2488,20170920,40.5785,40.6198,40.2479,40.4959,587010,40.81267499999994,40.84715,38.6777,35.929725,35.227199999999996,45.7025,62.402328973459056,40.45499751608213
2489,20170921,40.4959,40.5785,39.7108,40.5785,642630,40.73691666666661,40.47525,38.6777,35.867725,35.227199999999996,47.1074,62.97356182560323,40.479698012865704
2490,20170922,40.6611,41.0744,39.9173,40.5785,635450,40.67493333333328,40.30995,38.6777,35.9297,35.3512,47.9339,62.973561825603234,40.49945841029256
